Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,294.890015,295.890015,287.010010,288.640015,288.640015,77729398
2017-09-26,288.640015,312.640015,287.829987,309.970001,309.970001,155862803
2017-09-27,309.970001,310.239990,298.179993,302.769989,302.769989,116142194
2017-09-28,302.769989,303.540009,279.790009,292.579987,292.579987,189289895
2017-09-29,292.579987,305.910004,292.320007,302.769989,302.769989,82819424
2017-09-30,302.769989,304.790009,295.440002,303.950012,303.950012,66161942
2017-10-01,303.950012,304.130005,293.339996,296.809998,296.809998,87144370
2017-10-02,296.809998,299.920013,286.859985,291.809998,291.809998,88276884
2017-10-03,291.809998,295.570007,288.559998,291.679993,291.679993,67580849
2017-10-04,291.679993,297.470001,286.730011,294.989990,294.989990,59328523
2017-10-05,294.989990,309.000000,293.750000,308.329987,308.329987,80140194
2017-10-06,308.329987,314.119995,304.630005,311.260010,311.260010,83321062
2017-10-07,311.260010,313.519989,308.130005,309.489990,309.489990,67801593
2017-10-08,309.489990,310.140015,286.519989,296.950012,296.950012,140753204
2017-10-09,296.950012,305.950012,292.279999,298.459991,298.459991,80475858
2017-10-10,298.459991,305.119995,297.179993,302.859985,302.859985,67246675
2017-10-11,302.859985,308.769989,301.649994,302.890015,302.890015,130357482
2017-10-12,302.890015,347.700012,298.290009,336.829987,336.829987,325130767
2017-10-13,336.829987,347.140015,333.829987,338.809998,338.809998,118217861
2017-10-14,338.809998,341.929993,318.350006,336.579987,336.579987,154046243
2017-10-15,336.579987,352.390015,332.899994,334.230011,334.230011,170532984
2017-10-16,334.230011,334.420013,310.570007,316.140015,316.140015,133468389
2017-10-17,316.140015,316.339996,287.950012,313.540009,313.540009,164595270
2017-10-18,313.540009,316.380005,304.630005,307.410004,307.410004,92233614
2017-10-19,307.410004,312.109985,301.859985,303.079987,303.079987,91295399
2017-10-20,303.079987,303.089996,290.920013,299.549988,299.549988,91321527
2017-10-21,299.549988,305.890015,290.690002,294.029999,294.029999,67955886
2017-10-22,294.029999,294.250000,274.959991,285.269989,285.269989,121924456
2017-10-23,285.269989,311.230011,280.010010,296.500000,296.500000,165128705
2017-10-24,296.500000,300.359985,289.459991,296.350006,296.350006,72454123
2017-10-25,296.350006,299.369995,292.700012,295.540009,295.540009,47625722
2017-10-26,295.540009,298.899994,292.239990,296.359985,296.359985,45180916
2017-10-27,296.369995,297.049988,291.109985,293.350006,293.350006,41932396
2017-10-28,293.329987,311.299988,292.059998,304.040009,304.040009,107293933
2017-10-30,304.040009,311.940002,303.579987,306.799988,306.799988,57189166
2017-10-31,306.799988,310.859985,303.399994,303.640015,303.640015,65784953
2017-11-01,303.630005,304.769989,288.500000,289.420013,289.420013,121046164
2017-11-02,289.420013,293.029999,276.890015,284.920013,284.920013,200255173
2017-11-03,284.920013,307.140015,284.850006,304.510010,304.510010,144510264
2017-11-04,304.510010,304.649994,294.049988,300.040009,300.040009,82749431
2017-11-05,300.000000,300.649994,294.059998,296.230011,296.230011,63667315
2017-11-06,296.220001,306.799988,292.260010,296.820007,296.820007,112601694
2017-11-07,296.820007,303.760010,287.450012,291.839996,291.839996,155572238
2017-11-08,291.839996,319.200012,290.549988,307.350006,307.350006,245218193
2017-11-09,307.350006,329.209991,305.839996,319.660004,319.660004,207473774
2017-11-10,319.670013,324.220001,288.959991,296.859985,296.859985,242321395
2017-11-11,296.859985,320.049988,296.260010,314.230011,314.230011,163117794
2017-11-12,314.230011,317.220001,297.480011,306.019989,306.019989,269198764
2017-11-13,306.019989,318.579987,305.350006,314.600006,314.600006,174789178
2017-11-14,314.600006,337.149994,314.450012,334.720001,334.720001,256426287
2017-11-15,334.720001,345.179993,324.880005,331.200012,331.200012,171713343
2017-11-16,331.200012,334.850006,321.899994,330.320007,330.320007,157426941
2017-11-17,330.320007,334.549988,325.829987,331.720001,331.720001,124992568
2017-11-18,331.720001,349.459991,326.829987,346.649994,346.649994,141724984
2017-11-19,346.649994,371.320007,343.890015,354.600006,354.600006,225946121
2017-11-20,354.670013,372.820007,354.279999,367.709991,367.709991,167626773
2017-11-21,367.709991,372.869995,351.410004,360.519989,360.519989,251898109
2017-11-22,360.519989,381.609985,359.970001,380.839996,380.839996,164317320
2017-11-23,380.829987,424.920013,375.440002,406.570007,406.570007,414164352
2017-11-24,406.510010,478.380005,400.179993,470.429993,470.429993,394452948
2017-11-25,470.399994,483.380005,457.410004,464.609985,464.609985,301212841
2017-11-26,464.549988,471.500000,451.119995,470.540009,470.540009,172973289
2017-11-27,470.450012,489.429993,462.470001,475.239990,475.239990,319587125
2017-11-28,475.200012,478.459991,459.910004,466.269989,466.269989,258005286
2017-11-29,466.239990,515.440002,409.350006,427.420013,427.420013,619578824
2017-11-30,427.299988,460.809998,396.140015,434.850006,434.850006,438013592
2017-12-01,435.309998,467.220001,416.769989,461.579987,461.579987,259931075
2017-12-02,461.579987,471.390015,449.690002,457.959991,457.959991,214732551
2017-12-03,457.959991,481.559998,445.570007,462.809998,462.809998,237918665
2017-12-04,462.920013,472.160004,446.640015,466.929993,466.929993,189877684
2017-12-05,466.929993,467.839996,451.470001,453.959991,453.959991,227246572
2017-12-06,453.959991,456.869995,413.130005,422.480011,422.480011,470223347
2017-12-07,422.390015,434.850006,404.160004,421.149994,421.149994,416652301
2017-12-08,420.760010,461.100006,410.329987,451.739990,451.739990,479837604
2017-12-09,451.779999,507.359985,448.089996,472.859985,472.859985,522718280
2017-12-10,472.309998,472.779999,428.299988,436.489990,436.489990,307733091
2017-12-11,436.540009,519.349976,436.010010,513.289978,513.289978,359245523
2017-12-12,513.359985,678.250000,499.570007,656.520020,656.520020,997267993
2017-12-13,656.520020,755.070007,593.890015,699.090027,699.090027,1324617349
2017-12-14,699.090027,751.679993,662.289978,693.580017,693.580017,806129945
2017-12-15,693.580017,696.890015,614.330017,684.270020,684.270020,633348317
2017-12-16,684.090027,718.369995,678.520020,692.830017,692.830017,378863163
2017-12-17,692.320007,732.450012,691.950012,717.710022,717.710022,381124251
2017-12-18,717.729980,799.369995,679.799988,785.989990,785.989990,752383737
2017-12-19,786.169983,868.890015,767.590027,812.500000,812.500000,1094688835
2017-12-20,812.500000,830.200012,713.750000,799.169983,799.169983,889990388
2017-12-21,799.169983,840.549988,759.650024,789.390015,789.390015,725479885
2017-12-22,789.390015,794.159973,490.279999,657.830017,657.830017,1535685091
2017-12-23,657.809998,747.530029,651.099976,700.440002,700.440002,468771914
2017-12-24,700.440002,701.070007,597.119995,675.909973,675.909973,477777689
2017-12-25,676.080017,747.359985,671.710022,723.140015,723.140015,382873119
2017-12-26,723.140015,756.030029,722.229980,753.400024,753.400024,293691001
2017-12-27,753.440002,766.530029,706.669983,739.940002,739.940002,352542483
2017-12-28,739.929993,741.460022,671.229980,716.690002,716.690002,437323299
2017-12-29,716.690002,755.200012,710.200012,739.599976,739.599976,392497843
2017-12-30,739.599976,741.669983,663.880005,692.989990,692.989990,455555629
2017-12-31,692.989990,746.619995,686.440002,741.130005,741.130005,259822610
2018-01-01,741.090027,765.299988,724.330017,756.200012,756.200012,256171569
2018-01-02,756.169983,882.609985,756.169983,861.969971,861.969971,949013949
2018-01-03,861.969971,951.700012,847.900024,941.099976,941.099976,778108786
2018-01-04,941.000000,997.440002,901.030029,944.830017,944.830017,780050914
2018-01-05,944.830017,1018.369995,933.979980,967.130005,967.130005,808280779
2018-01-06,967.130005,1010.169983,958.289978,1006.409973,1006.409973,381555969
2018-01-07,1006.409973,1117.839966,1003.210022,1117.750000,1117.750000,602250144
2018-01-08,1117.750000,1228.250000,967.840027,1136.109985,1136.109985,1292737991
2018-01-09,1136.109985,1300.300049,1133.699951,1289.239990,1289.239990,986697724
2018-01-10,1289.239990,1385.219971,1210.849976,1248.989990,1248.989990,1445484601
2018-01-11,1248.959961,1333.920044,1100.849976,1139.319946,1139.319946,1270849838
2018-01-12,1139.319946,1287.060059,1087.609985,1261.030029,1261.030029,704750432
2018-01-13,1261.060059,1422.859985,1261.010010,1385.020020,1385.020020,744906594
2018-01-14,1385.020020,1389.319946,1267.479980,1359.479980,1359.479980,610496132
2018-01-15,1359.380005,1381.349976,1271.069946,1278.689941,1278.689941,537797572
2018-01-16,1278.699951,1282.270020,864.229980,1050.260010,1050.260010,1931700742
2018-01-17,1050.260010,1115.660034,764.750000,1024.689941,1024.689941,2034010888
2018-01-18,1024.900024,1093.900024,949.559998,1012.969971,1012.969971,1117430433
2018-01-19,1012.969971,1083.619995,982.619995,1037.359985,1037.359985,517599347
2018-01-20,1037.359985,1164.619995,1036.819946,1150.500000,1150.500000,545646401
2018-01-21,1150.500000,1150.569946,1008.059998,1049.089966,1049.089966,543760385
2018-01-22,1049.089966,1084.280029,917.000000,999.640015,999.640015,676845706
2018-01-23,999.750000,1020.659973,908.309998,984.469971,984.469971,660805261
2018-01-24,984.479980,1062.599976,956.969971,1061.780029,1061.780029,521553676
2018-01-25,1061.609985,1102.420044,1022.200012,1046.369995,1046.369995,568607934
2018-01-26,1046.369995,1075.589966,987.130005,1048.579956,1048.579956,509049582
2018-01-27,1048.579956,1121.900024,1033.859985,1109.079956,1109.079956,395059716
2018-01-28,1109.079956,1240.469971,1101.619995,1231.579956,1231.579956,662174309
2018-01-29,1231.569946,1240.319946,1151.530029,1169.959961,1169.959961,515965244
2018-01-30,1169.939941,1173.180054,1034.719971,1063.750000,1063.750000,835962532
2018-01-31,1063.770020,1122.979980,1020.770020,1111.310059,1111.310059,550605628
2018-02-01,1111.290039,1155.579956,954.750000,1026.189941,1026.189941,1033001644
2018-02-02,1026.189941,1027.660034,746.669983,917.469971,917.469971,1606436956
2018-02-03,917.469971,997.599976,845.179993,970.869995,970.869995,552868551
2018-02-04,970.869995,971.049988,781.359985,827.590027,827.590027,666593264
2018-02-05,826.340027,857.820007,629.080017,695.080017,695.080017,1272929187
2018-02-06,695.049988,801.729980,564.190002,785.010010,785.010010,1556542861
2018-02-07,785.159973,858.280029,718.280029,751.809998,751.809998,895500139
2018-02-08,751.859985,844.859985,750.020020,813.549988,813.549988,510550202
2018-02-09,813.549988,880.219971,781.500000,877.880005,877.880005,469210004
2018-02-10,877.659973,909.320007,816.090027,850.750000,850.750000,451412405
2018-02-11,850.989990,853.739990,780.130005,811.239990,811.239990,308313754
2018-02-12,811.169983,874.849976,811.090027,865.270020,865.270020,300521830
2018-02-13,865.280029,867.599976,823.770020,840.979980,840.979980,256092877
2018-02-14,840.989990,922.369995,840.869995,920.109985,920.109985,470132510
2018-02-15,920.109985,947.530029,905.650024,927.950012,927.950012,454133646
2018-02-16,927.950012,945.359985,909.409973,938.020020,938.020020,282763877
2018-02-17,937.919983,974.830017,934.950012,974.770020,974.770020,276682460
2018-02-18,974.780029,981.479980,905.960022,913.900024,913.900024,375068724
2018-02-19,913.900024,955.619995,911.599976,939.789978,939.789978,218921662
2018-02-20,939.789978,958.859985,877.280029,885.520020,885.520020,344672330
2018-02-21,885.520020,906.559998,818.119995,840.099976,840.099976,445950029
2018-02-22,840.190002,871.320007,788.919983,804.630005,804.630005,362800754
2018-02-23,804.609985,882.419983,787.969971,854.700012,854.700012,340134173
2018-02-24,854.700012,874.719971,810.640015,833.489990,833.489990,255866976
2018-02-25,833.489990,849.520020,818.549988,840.280029,840.280029,171228507
2018-02-26,840.280029,880.119995,834.059998,867.619995,867.619995,247282448
2018-02-27,867.619995,894.919983,861.719971,871.580017,871.580017,201082786
2018-02-28,871.590027,887.510010,850.580017,851.500000,851.500000,195669597
2018-03-01,851.500000,880.210022,846.719971,869.869995,869.869995,182033011
2018-03-02,869.840027,876.559998,849.989990,855.599976,855.599976,135957233
2018-03-03,855.599976,867.440002,852.859985,855.650024,855.650024,94471138
2018-03-04,855.650024,867.340027,838.359985,864.830017,864.830017,99578403
2018-03-05,864.919983,868.799988,849.280029,849.419983,849.419983,127303467
2018-03-06,849.570007,851.039978,803.650024,815.690002,815.690002,195875620
2018-03-07,815.650024,825.320007,726.380005,751.130005,751.130005,354361800
2018-03-08,751.130005,772.510010,688.840027,698.830017,698.830017,289838564
2018-03-09,698.830017,730.460022,642.059998,726.919983,726.919983,409323870
2018-03-10,726.760010,747.820007,678.650024,682.299988,682.299988,203802606
2018-03-11,682.299988,735.010010,663.580017,720.359985,720.359985,206098889
2018-03-12,720.369995,739.869995,678.130005,697.020020,697.020020,208107856
2018-03-13,697.000000,714.190002,679.190002,689.960022,689.960022,194913670
2018-03-14,689.960022,703.380005,586.700012,613.150024,613.150024,325415119
2018-03-15,613.150024,620.429993,572.109985,610.559998,610.559998,342311699
2018-03-16,610.659973,626.130005,585.159973,600.530029,600.530029,221082941
2018-03-17,600.530029,609.940002,543.280029,549.789978,549.789978,208843294
2018-03-18,549.789978,559.929993,454.179993,537.380005,537.380005,719812876
2018-03-19,537.380005,559.070007,515.840027,555.549988,555.549988,418500605
2018-03-20,555.549988,567.000000,516.780029,557.570007,557.570007,331343470
2018-03-21,557.570007,590.200012,545.479980,559.909973,559.909973,277714049
2018-03-22,559.909973,578.010010,516.219971,539.890015,539.890015,233985932
